01:00:08.744 -> indice: 0,6:48,1.00,-4.75,116.16,112.91
01:00:08.744 -> indice: 1,7:0,1.32,-2.43,114.58,111.20
01:00:08.744 -> indice: 2,7:20,5.15,1.49,111.92,108.43
01:00:08.744 -> indice: 3,7:40,9.06,5.48,109.34,105.75
01:00:08.744 -> indice: 4,8:0,13.02,9.52,106.84,103.13
01:00:08.744 -> indice: 5,8:20,17.04,13.60,104.38,100.55
01:00:08.744 -> indice: 6,8:40,21.10,17.72,101.95,97.98
01:00:08.744 -> indice: 7,9:0,25.19,21.87,99.53,95.40
01:00:08.785 -> indice: 8,9:20,29.32,26.03,97.08,92.77
01:00:08.785 -> indice: 9,9:40,33.47,30.20,94.58,90.07
01:00:08.785 -> indice: 10,10:0,37.63,34.37,91.99,87.25
01:00:08.785 -> indice: 11,10:20,41.80,38.53,89.27,84.27
01:00:08.785 -> indice: 12,10:40,45.97,42.67,86.36,81.06
01:00:08.785 -> indice: 13,11:0,50.12,46.77,83.18,77.53
01:00:08.785 -> indice: 14,11:20,54.24,50.81,79.61,73.59
01:00:08.785 -> indice: 15,11:40,58.31,54.76,75.51,69.07
01:00:08.785 -> indice: 16,12:0,62.30,58.59,70.61,63.78
01:00:08.785 -> indice: 17,12:20,66.16,62.22,64.56,57.41
01:00:08.832 -> indice: 18,12:40,69.80,65.58,56.73,49.59
01:00:08.832 -> indice: 19,13:0,73.07,68.52,46.23,39.82
01:00:08.832 -> indice: 20,13:20,75.71,70.85,31.85,27.68
01:00:08.832 -> indice: 21,13:40,77.31,72.31,12.96,13.16
01:00:08.832 -> indice: 22,14:0,77.47,72.69,351.48,357.19
01:00:08.832 -> indice: 23,14:20,76.14,71.91,331.77,341.55
01:00:08.832 -> indice: 24,14:40,73.68,70.12,316.46,327.81
01:00:08.832 -> indice: 25,15:0,70.51,67.56,305.25,316.53
01:00:08.832 -> indice: 26,15:20,66.93,64.45,296.96,307.49
01:00:08.832 -> indice: 27,15:40,63.11,60.98,290.60,300.23
01:00:08.832 -> indice: 28,16:0,59.15,57.27,285.50,294.27
01:00:08.868 -> indice: 29,16:20,55.09,53.40,281.26,289.28
01:00:08.868 -> indice: 30,16:40,50.97,49.41,277.60,284.98
01:00:08.868 -> indice: 31,17:0,46.82,45.34,274.35,281.20
01:00:08.868 -> indice: 32,17:20,42.65,41.23,271.39,277.79
01:00:08.868 -> indice: 33,17:40,38.48,37.08,268.64,274.67
01:00:08.868 -> indice: 34,18:0,34.31,32.92,266.03,271.75
01:00:08.868 -> indice: 35,18:20,30.16,28.74,263.51,268.98
01:00:08.868 -> indice: 36,18:40,26.02,24.58,261.06,266.31
01:00:08.868 -> indice: 37,19:0,21.92,20.42,258.63,263.70
01:00:08.915 -> indice: 38,19:20,17.84,16.28,256.21,261.13
01:00:08.915 -> indice: 39,19:40,13.81,12.18,253.76,258.56
01:00:08.915 -> indice: 40,20:0,9.83,8.11,251.27,255.96
01:00:08.915 -> indice: 41,20:20,5.91,4.09,248.71,253.33
01:00:08.915 -> indice: 42,20:40,2.06,0.12,246.07,250.62
01:00:08.915 -> indice: 43,20:55,1.00,-2.81,243.98,248.53
01:00:08.947 -> indice: 44,0:0,1.00,-33.16,242.00,213.95
01:00:08.947 -> indice: 45,0:0,0.00,-33.16,0.00,213.95
